[8:35:32:812] 376
[8:35:34:444] 398
[8:35:36:41] 374
[8:35:37:653] 374
[8:35:39:374] 371
[8:35:41:113] 383
[8:35:42:857] 374
[8:35:44:596] 372
[8:35:46:367] 380
[8:35:48:61] 367
[8:35:49:707] 421
[8:35:51:870] 945
[8:35:54:3] 912
[8:35:56:100] 881
[8:35:57:678] 366
[8:35:59:679] 370
[8:36:1:784] 374
[8:36:4:136] 1094
[8:36:5:990] 595
[8:36:8:155] 917
[8:36:11:545] 448
[8:36:15:398] 954
[8:36:17:732] 1099
[8:36:19:698] 372
[8:36:22:252] 626
[8:36:24:646] 1158
[8:36:26:536] 370
[8:36:29:206] 963
[8:36:31:636] 1194
[8:36:33:483] 377
[8:36:36:717] 383
[8:36:40:62] 1607
[8:36:42:825] 1225
[8:36:45:111] 1070
[8:36:47:59] 373
[8:36:49:623] 611
[8:36:52:19] 1180
[8:36:55:918] 372
[8:36:59:604] 2464
[8:37:1:921] 371
[8:37:6:480] 2602
[8:37:8:76] 373
[8:37:12:686] 2347
[8:37:15:64] 1159
[8:37:18:974] 377
[8:37:24:103] 3116
[8:37:25:866] 538
[8:37:29:840] 642
[8:37:31:430] 374
[8:37:35:982] 2534
[8:37:37:583] 392
[8:37:41:743] 1206
[8:37:44:113] 1139
[8:37:48:3] 373
[8:37:54:420] 4429
[8:37:56:0] 374
[8:38:2:247] 3225
[8:38:3:851] 390
[8:38:10:465] 4281
[8:38:12:287] 492
[8:38:18:558] 519
[8:38:21:75] 1286
[8:38:27:47] 374
[8:38:33:278] 4169
[8:38:34:914] 370
[8:38:41:318] 3427
[8:38:43:910] 1360
[8:38:49:228] 372
[8:38:52:798] 2336
[8:38:57:147] 369
[8:39:3:754] 4284
[8:39:5:890] 909
[8:39:13:655] 1843
[8:39:16:549] 1672
[8:39:24:301] 383
[8:39:32:277] 5888
[8:39:33:963] 368
[8:39:37:366] 2173
[8:39:43:625] 385
[8:39:45:227] 370
[8:39:46:828] 377
[8:39:48:441] 372
[8:39:50:377] 731
[8:39:58:39] 3186
[8:40:0:561] 1305
[8:40:7:626] 1870
[8:40:10:214] 1360
[8:40:17:361] 807
[8:40:18:953] 375
[8:40:20:549] 370
[8:40:28:398] 5827
[8:40:30:297] 375
[8:40:38:938] 6498
[8:40:40:537] 376
[8:40:44:211] 2459
[8:40:50:495] 1246
[8:40:52:103] 376
[8:40:54:383] 1055
[8:40:55:999] 396
[8:40:57:633] 379
[8:40:59:231] 377
[8:41:0:854] 386
[8:41:2:459] 377
[8:41:6:860] 3154
