[17:19:6:992] 175
[17:19:7:137] 10
[17:19:7:159] 10
[17:19:7:175] 7
[17:19:7:193] 7
[17:19:7:212] 8
[17:19:7:232] 8
[17:19:7:251] 9
[17:19:7:272] 8
[17:19:7:289] 8
[17:19:7:493] 74
[17:19:7:513] 8
[17:19:7:532] 7
[17:19:7:552] 8
[17:19:7:570] 8
[17:19:7:591] 9
[17:19:7:608] 7
[17:19:7:627] 8
[17:19:7:645] 8
[17:19:7:665] 8
[17:19:7:883] 89
[17:19:7:926] 24
[17:19:7:962] 11
[17:19:7:982] 7
[17:19:8:1] 7
[17:19:8:17] 7
[17:19:8:34] 7
[17:19:8:51] 7
[17:19:8:69] 8
[17:19:8:88] 9
[17:19:8:294] 76
[17:19:8:314] 8
[17:19:8:332] 8
[17:19:8:351] 8
[17:19:8:369] 9
[17:19:8:393] 13
[17:19:8:415] 11
[17:19:8:444] 10
[17:19:8:470] 11
[17:19:8:491] 10
[17:19:8:685] 64
[17:19:8:716] 20
[17:19:8:747] 20
[17:19:8:777] 19
[17:19:8:809] 21
[17:19:8:845] 24
[17:19:8:878] 20
[17:19:8:910] 20
[17:19:8:942] 20
[17:19:8:971] 18
[17:19:9:171] 67
[17:19:9:202] 19
[17:19:9:233] 19
[17:19:9:264] 19
[17:19:9:288] 12
[17:19:9:319] 20
[17:19:9:351] 21
[17:19:9:382] 19
[17:19:9:411] 18
[17:19:9:442] 19
[17:19:9:692] 80
[17:19:9:723] 20
[17:19:9:754] 20
[17:19:9:785] 20
[17:19:9:815] 19
[17:19:9:846] 19
[17:19:9:875] 17
[17:19:9:902] 16
[17:19:9:930] 16
[17:19:9:950] 9
[17:19:10:113] 31
[17:19:10:132] 7
[17:19:10:159] 7
[17:19:10:187] 7
[17:19:10:212] 9
[17:19:10:242] 10
[17:19:10:262] 9
[17:19:10:285] 9
[17:19:10:309] 9
[17:19:10:340] 9
[17:19:10:528] 59
[17:19:10:559] 9
[17:19:10:594] 8
[17:19:10:631] 9
[17:19:10:667] 9
[17:19:10:703] 9
[17:19:10:739] 9
[17:19:10:774] 9
[17:19:10:810] 9
[17:19:10:846] 9
[17:19:11:47] 58
[17:19:11:74] 10
[17:19:11:108] 9
[17:19:11:141] 9
[17:19:11:179] 9
[17:19:11:212] 9
[17:19:11:245] 9
[17:19:11:278] 10
[17:19:11:310] 8
[17:19:11:344] 9
[17:19:11:546] 62
[17:19:11:580] 10
[17:19:11:614] 9
[17:19:11:646] 9
[17:19:11:679] 9
[17:19:11:712] 8
[17:19:11:744] 9
[17:19:11:779] 10
[17:19:11:810] 7
[17:19:11:842] 8
[17:19:12:31] 49
[17:19:12:54] 10
[17:19:12:76] 9
[17:19:12:98] 8
[17:19:12:119] 9
[17:19:12:145] 9
[17:19:12:166] 9
[17:19:12:187] 9
[17:19:12:215] 8
[17:19:12:244] 9
[17:19:12:441] 55
[17:19:12:459] 7
[17:19:12:478] 9
[17:19:12:497] 8
[17:19:12:515] 8
[17:19:12:545] 13
[17:19:12:569] 9
[17:19:12:613] 22
[17:19:12:634] 9
[17:19:12:664] 9
[17:19:12:836] 43
[17:19:12:855] 8
[17:19:12:874] 8
[17:19:12:893] 8
[17:19:12:913] 9
[17:19:12:931] 7
[17:19:12:950] 8
[17:19:12:968] 9
[17:19:12:987] 8
[17:19:13:5] 8
[17:19:13:193] 58
[17:19:13:214] 9
[17:19:13:232] 7
[17:19:13:250] 7
[17:19:13:268] 8
[17:19:13:286] 8
